Configuration;Power;Type I Error Rate
0.5,500,ME+I,2.0,0.02;100;100
0.5,500,ME+I,2.0,0.0001;100;100
0.5,500,ME+I,1.5,0.02;100;100
0.5,500,ME+I,1.5,0.0001;100;100
0.5,500,ME+I,1.1,0.02;100;76
0.5,500,ME+I,1.1,0.0001;100;84
0.5,500,ME,2.0,0.02;100;98
0.5,500,ME,2.0,0.0001;100;95
0.5,500,ME,1.5,0.02;100;56
0.5,500,ME,1.5,0.0001;100;56
0.5,500,ME,1.1,0.02;80;26
0.5,500,ME,1.1,0.0001;78;25
0.5,500,I,2.0,0.02;9;0
0.5,500,I,2.0,0.0001;9;0
0.5,500,I,1.5,0.02;2;0
0.5,500,I,1.5,0.0001;0;0
0.5,500,I,1.1,0.02;0;0
0.5,500,I,1.1,0.0001;0;0
0.5,2000,ME+I,2.0,0.02;100;100
0.5,2000,ME+I,2.0,0.0001;99;100
0.5,2000,ME+I,1.5,0.02;100;100
0.5,2000,ME+I,1.5,0.0001;99;100
0.5,2000,ME+I,1.1,0.02;100;100
0.5,2000,ME+I,1.1,0.0001;99;100
0.5,2000,ME,2.0,0.02;100;100
0.5,2000,ME,2.0,0.0001;100;100
0.5,2000,ME,1.5,0.02;100;100
0.5,2000,ME,1.5,0.0001;100;100
0.5,2000,ME,1.1,0.02;100;100
0.5,2000,ME,1.1,0.0001;100;98
0.5,2000,I,2.0,0.02;100;0
0.5,2000,I,2.0,0.0001;100;11
0.5,2000,I,1.5,0.02;100;5
0.5,2000,I,1.5,0.0001;46;1
0.5,2000,I,1.1,0.02;7;1
0.5,2000,I,1.1,0.0001;2;0
0.5,1000,ME+I,2.0,0.02;100;100
0.5,1000,ME+I,2.0,0.0001;99;100
0.5,1000,ME+I,1.5,0.02;100;100
0.5,1000,ME+I,1.5,0.0001;99;100
0.5,1000,ME+I,1.1,0.02;100;100
0.5,1000,ME+I,1.1,0.0001;99;100
0.5,1000,ME,2.0,0.02;100;100
0.5,1000,ME,2.0,0.0001;100;100
0.5,1000,ME,1.5,0.02;100;100
0.5,1000,ME,1.5,0.0001;100;97
0.5,1000,ME,1.1,0.02;100;60
0.5,1000,ME,1.1,0.0001;100;62
0.5,1000,I,2.0,0.02;82;0
0.5,1000,I,2.0,0.0001;78;1
0.5,1000,I,1.5,0.02;55;0
0.5,1000,I,1.5,0.0001;4;0
0.5,1000,I,1.1,0.02;0;0
0.5,1000,I,1.1,0.0001;0;0
0.3,500,ME+I,2.0,0.02;100;100
0.3,500,ME+I,2.0,0.0001;100;100
0.3,500,ME+I,1.5,0.02;100;72
0.3,500,ME+I,1.5,0.0001;100;94
0.3,500,ME+I,1.1,0.02;77;20
0.3,500,ME+I,1.1,0.0001;89;23
0.3,500,ME,2.0,0.02;100;74
0.3,500,ME,2.0,0.0001;100;81
0.3,500,ME,1.5,0.02;89;26
0.3,500,ME,1.5,0.0001;86;34
0.3,500,ME,1.1,0.02;24;12
0.3,500,ME,1.1,0.0001;18;18
0.3,500,I,2.0,0.02;8;0
0.3,500,I,2.0,0.0001;20;0
0.3,500,I,1.5,0.02;2;0
0.3,500,I,1.5,0.0001;5;0
0.3,500,I,1.1,0.02;0;0
0.3,500,I,1.1,0.0001;0;0
0.3,2000,ME+I,2.0,0.02;100;100
0.3,2000,ME+I,2.0,0.0001;99;100
0.3,2000,ME+I,1.5,0.02;100;100
0.3,2000,ME+I,1.5,0.0001;99;100
0.3,2000,ME+I,1.1,0.02;100;97
0.3,2000,ME+I,1.1,0.0001;99;99
0.3,2000,ME,2.0,0.02;100;100
0.3,2000,ME,2.0,0.0001;100;100
0.3,2000,ME,1.5,0.02;100;99
0.3,2000,ME,1.5,0.0001;100;100
0.3,2000,ME,1.1,0.02;100;55
0.3,2000,ME,1.1,0.0001;100;51
0.3,2000,I,2.0,0.02;99;1
0.3,2000,I,2.0,0.0001;100;2
0.3,2000,I,1.5,0.02;99;9
0.3,2000,I,1.5,0.0001;98;4
0.3,2000,I,1.1,0.02;2;0
0.3,2000,I,1.1,0.0001;2;1
0.3,1000,ME+I,2.0,0.02;100;100
0.3,1000,ME+I,2.0,0.0001;100;100
0.3,1000,ME+I,1.5,0.02;100;98
0.3,1000,ME+I,1.5,0.0001;99;100
0.3,1000,ME+I,1.1,0.02;100;61
0.3,1000,ME+I,1.1,0.0001;99;61
0.3,1000,ME,2.0,0.02;100;99
0.3,1000,ME,2.0,0.0001;100;100
0.3,1000,ME,1.5,0.02;100;69
0.3,1000,ME,1.5,0.0001;100;63
0.3,1000,ME,1.1,0.02;92;28
0.3,1000,ME,1.1,0.0001;77;30
0.3,1000,I,2.0,0.02;58;0
0.3,1000,I,2.0,0.0001;100;2
0.3,1000,I,1.5,0.02;50;1
0.3,1000,I,1.5,0.0001;48;2
0.3,1000,I,1.1,0.02;0;0
0.3,1000,I,1.1,0.0001;0;0
0.1,500,ME+I,2.0,0.02;0;11
0.1,500,ME+I,2.0,0.0001;30;48
0.1,500,ME+I,1.5,0.02;0;5
0.1,500,ME+I,1.5,0.0001;1;9
0.1,500,ME+I,1.1,0.02;0;3
0.1,500,ME+I,1.1,0.0001;1;6
0.1,500,ME,2.0,0.02;0;11
0.1,500,ME,2.0,0.0001;8;27
0.1,500,ME,1.5,0.02;0;6
0.1,500,ME,1.5,0.0001;0;8
0.1,500,ME,1.1,0.02;0;7
0.1,500,ME,1.1,0.0001;0;7
0.1,500,I,2.0,0.02;0;0
0.1,500,I,2.0,0.0001;0;0
0.1,500,I,1.5,0.02;1;0
0.1,500,I,1.5,0.0001;0;0
0.1,500,I,1.1,0.02;0;0
0.1,500,I,1.1,0.0001;0;1
0.1,2000,ME+I,2.0,0.02;95;75
0.1,2000,ME+I,2.0,0.0001;99;99
0.1,2000,ME+I,1.5,0.02;65;40
0.1,2000,ME+I,1.5,0.0001;45;52
0.1,2000,ME+I,1.1,0.02;3;7
0.1,2000,ME+I,1.1,0.0001;2;18
0.1,2000,ME,2.0,0.02;92;71
0.1,2000,ME,2.0,0.0001;98;77
0.1,2000,ME,1.5,0.02;25;17
0.1,2000,ME,1.5,0.0001;34;43
0.1,2000,ME,1.1,0.02;2;10
0.1,2000,ME,1.1,0.0001;1;15
0.1,2000,I,2.0,0.02;92;15
0.1,2000,I,2.0,0.0001;86;2
0.1,2000,I,1.5,0.02;84;3
0.1,2000,I,1.5,0.0001;42;2
0.1,2000,I,1.1,0.02;1;0
0.1,2000,I,1.1,0.0001;5;1
0.1,1000,ME+I,2.0,0.02;31;25
0.1,1000,ME+I,2.0,0.0001;90;71
0.1,1000,ME+I,1.5,0.02;1;12
0.1,1000,ME+I,1.5,0.0001;8;20
0.1,1000,ME+I,1.1,0.02;0;9
0.1,1000,ME+I,1.1,0.0001;0;10
0.1,1000,ME,2.0,0.02;37;19
0.1,1000,ME,2.0,0.0001;49;52
0.1,1000,ME,1.5,0.02;2;8
0.1,1000,ME,1.5,0.0001;1;23
0.1,1000,ME,1.1,0.02;0;10
0.1,1000,ME,1.1,0.0001;0;12
0.1,1000,I,2.0,0.02;23;0
0.1,1000,I,2.0,0.0001;8;1
0.1,1000,I,1.5,0.02;6;0
0.1,1000,I,1.5,0.0001;1;1
0.1,1000,I,1.1,0.02;0;0
0.1,1000,I,1.1,0.0001;0;0
0.05,500,ME+I,2.0,0.02;0;4
0.05,500,ME+I,2.0,0.0001;0;9
0.05,500,ME+I,1.5,0.02;0;3
0.05,500,ME+I,1.5,0.0001;0;8
0.05,500,ME+I,1.1,0.02;0;3
0.05,500,ME+I,1.1,0.0001;0;6
0.05,500,ME,2.0,0.02;0;2
0.05,500,ME,2.0,0.0001;0;6
0.05,500,ME,1.5,0.02;0;4
0.05,500,ME,1.5,0.0001;0;5
0.05,500,ME,1.1,0.02;0;7
0.05,500,ME,1.1,0.0001;0;4
0.05,500,I,2.0,0.02;0;0
0.05,500,I,2.0,0.0001;0;0
0.05,500,I,1.5,0.02;0;0
0.05,500,I,1.5,0.0001;0;0
0.05,500,I,1.1,0.02;0;1
0.05,500,I,1.1,0.0001;0;0
0.05,2000,ME+I,2.0,0.02;0;16
0.05,2000,ME+I,2.0,0.0001;6;66
0.05,2000,ME+I,1.5,0.02;0;10
0.05,2000,ME+I,1.5,0.0001;1;17
0.05,2000,ME+I,1.1,0.02;0;0
0.05,2000,ME+I,1.1,0.0001;0;5
0.05,2000,ME,2.0,0.02;1;20
0.05,2000,ME,2.0,0.0001;9;34
0.05,2000,ME,1.5,0.02;0;4
0.05,2000,ME,1.5,0.0001;1;15
0.05,2000,ME,1.1,0.02;0;4
0.05,2000,ME,1.1,0.0001;0;7
0.05,2000,I,2.0,0.02;6;1
0.05,2000,I,2.0,0.0001;55;22
0.05,2000,I,1.5,0.02;39;25
